--- split 2/5 of beppyo-5.txt ---
| 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 |
| ３，６６０，０００ | ３，６６４，０００ | ２，４８８，０００ | ３，８６０，０００ | ３，８６４，０００ | ２，６４８，０００ | ４，０６０，０００ | ４，０６４，０００ | ２，８０８，０００ |
| ３，６６４，０００ | ３，６６８，０００ | ２，４９１，２００ | ３，８６４，０００ | ３，８６８，０００ | ２，６５１，２００ | ４，０６４，０００ | ４，０６８，０００ | ２，８１１，２００ |
| ３，６６８，０００ | ３，６７２，０００ | ２，４９４，４００ | ３，８６８，０００ | ３，８７２，０００ | ２，６５４，４００ | ４，０６８，０００ | ４，０７２，０００ | ２，８１４，４００ |
| ３，６７２，０００ | ３，６７６，０００ | ２，４９７，６００ | ３，８７２，０００ | ３，８７６，０００ | ２，６５７，６００ | ４，０７２，０００ | ４，０７６，０００ | ２，８１７，６００ |
| ３，６７６，０００ | ３，６８０，０００ | ２，５００，８００ | ３，８７６，０００ | ３，８８０，０００ | ２，６６０，８００ | ４，０７６，０００ | ４，０８０，０００ | ２，８２０，８００ |
|  |  |  |  |  |  |  |  |  |
| ３，６８０，０００ | ３，６８４，０００ | ２，５０４，０００ | ３，８８０，０００ | ３，８８４，０００ | ２，６６４，０００ | ４，０８０，０００ | ４，０８４，０００ | ２，８２４，０００ |
| ３，６８４，０００ | ３，６８８，０００ | ２，５０７，２００ | ３，８８４，０００ | ３，８８８，０００ | ２，６６７，２００ | ４，０８４，０００ | ４，０８８，０００ | ２，８２７，２００ |
| ３，６８８，０００ | ３，６９２，０００ | ２，５１０，４００ | ３，８８８，０００ | ３，８９２，０００ | ２，６７０，４００ | ４，０８８，０００ | ４，０９２，０００ | ２，８３０，４００ |
| ３，６９２，０００ | ３，６９６，０００ | ２，５１３，６００ | ３，８９２，０００ | ３，８９６，０００ | ２，６７３，６００ | ４，０９２，０００ | ４，０９６，０００ | ２，８３３，６００ |
| ３，６９６，０００ | ３，７００，０００ | ２，５１６，８００ | ３，８９６，０００ | ３，９００，０００ | ２，６７６，８００ | ４，０９６，０００ | ４，１００，０００ | ２，８３６，８００ |
|  |  |  |  |  |  |  |  |  |
| ３，７００，０００ | ３，７０４，０００ | ２，５２０，０００ | ３，９００，０００ | ３，９０４，０００ | ２，６８０，０００ | ４，１００，０００ | ４，１０４，０００ | ２，８４０，０００ |
| ３，７０４，０００ | ３，７０８，０００ | ２，５２３，２００ | ３，９０４，０００ | ３，９０８，０００ | ２，６８３，２００ | ４，１０４，０００ | ４，１０８，０００ | ２，８４３，２００ |
| ３，７０８，０００ | ３，７１２，０００ | ２，５２６，４００ | ３，９０８，０００ | ３，９１２，０００ | ２，６８６，４００ | ４，１０８，０００ | ４，１１２，０００ | ２，８４６，４００ |
| ３，７１２，０００ | ３，７１６，０００ | ２，５２９，６００ | ３，９１２，０００ | ３，９１６，０００ | ２，６８９，６００ | ４，１１２，０００ | ４，１１６，０００ | ２，８４９，６００ |
| ３，７１６，０００ | ３，７２０，０００ | ２，５３２，８００ | ３，９１６，０００ | ３，９２０，０００ | ２，６９２，８００ | ４，１１６，０００ | ４，１２０，０００ | ２，８５２，８００ |
|  |  |  |  |  |  |  |  |  |
| ３，７２０，０００ | ３，７２４，０００ | ２，５３６，０００ | ３，９２０，０００ | ３，９２４，０００ | ２，６９６，０００ | ４，１２０，０００ | ４，１２４，０００ | ２，８５６，０００ |
| ３，７２４，０００ | ３，７２８，０００ | ２，５３９，２００ | ３，９２４，０００ | ３，９２８，０００ | ２，６９９，２００ | ４，１２４，０００ | ４，１２８，０００ | ２，８５９，２００ |
| ３，７２８，０００ | ３，７３２，０００ | ２，５４２，４００ | ３，９２８，０００ | ３，９３２，０００ | ２，７０２，４００ | ４，１２８，０００ | ４，１３２，０００ | ２，８６２，４００ |
| ３，７３２，０００ | ３，７３６，０００ | ２，５４５，６００ | ３，９３２，０００ | ３，９３６，０００ | ２，７０５，６００ | ４，１３２，０００ | ４，１３６，０００ | ２，８６５，６００ |
| ３，７３６，０００ | ３，７４０，０００ | ２，５４８，８００ | ３，９３６，０００ | ３，９４０，０００ | ２，７０８，８００ | ４，１３６，０００ | ４，１４０，０００ | ２，８６８，８００ |
|  |  |  |  |  |  |  |  |  |
| ３，７４０，０００ | ３，７４４，０００ | ２，５５２，０００ | ３，９４０，０００ | ３，９４４，０００ | ２，７１２，０００ | ４，１４０，０００ | ４，１４４，０００ | ２，８７２，０００ |
| ３，７４４，０００ | ３，７４８，０００ | ２，５５５，２００ | ３，９４４，０００ | ３，９４８，０００ | ２，７１５，２００ | ４，１４４，０００ | ４，１４８，０００ | ２，８７５，２００ |
| ３，７４８，０００ | ３，７５２，０００ | ２，５５８，４００ | ３，９４８，０００ | ３，９５２，０００ | ２，７１８，４００ | ４，１４８，０００ | ４，１５２，０００ | ２，８７８，４００ |
| ３，７５２，０００ | ３，７５６，０００ | ２，５６１，６００ | ３，９５２，０００ | ３，９５６，０００ | ２，７２１，６００ | ４，１５２，０００ | ４，１５６，０００ | ２，８８１，６００ |
| ３，７５６，０００ | ３，７６０，０００ | ２，５６４，８００ | ３，９５６，０００ | ３，９６０，０００ | ２，７２４，８００ | ４，１５６，０００ | ４，１６０，０００ | ２，８８４，８００ |
|  |  |  |  |  |  |  |  |  |
| ３，７６０，０００ | ３，７６４，０００ | ２，５６８，０００ | ３，９６０，０００ | ３，９６４，０００ | ２，７２８，０００ | ４，１６０，０００ | ４，１６４，０００ | ２，８８８，０００ |
| ３，７６４，０００ | ３，７６８，０００ | ２，５７１，２００ | ３，９６４，０００ | ３，９６８，０００ | ２，７３１，２００ | ４，１６４，０００ | ４，１６８，０００ | ２，８９１，２００ |
| ３，７６８，０００ | ３，７７２，０００ | ２，５７４，４００ | ３，９６８，０００ | ３，９７２，０００ | ２，７３４，４００ | ４，１６８，０００ | ４，１７２，０００ | ２，８９４，４００ |
| ３，７７２，０００ | ３，７７６，０００ | ２，５７７，６００ | ３，９７２，０００ | ３，９７６，０００ | ２，７３７，６００ | ４，１７２，０００ | ４，１７６，０００ | ２，８９７，６００ |
| ３，７７６，０００ | ３，７８０，０００ | ２，５８０，８００ | ３，９７６，０００ | ３，９８０，０００ | ２，７４０，８００ | ４，１７６，０００ | ４，１８０，０００ | ２，９００，８００ |
|  |  |  |  |  |  |  |  |  |
| ３，７８０，０００ | ３，７８４，０００ | ２，５８４，０００ | ３，９８０，０００ | ３，９８４，０００ | ２，７４４，０００ | ４，１８０，０００ | ４，１８４，０００ | ２，９０４，０００ |
| ３，７８４，０００ | ３，７８８，０００ | ２，５８７，２００ | ３，９８４，０００ | ３，９８８，０００ | ２，７４７，２００ | ４，１８４，０００ | ４，１８８，０００ | ２，９０７，２００ |
