law: 所得税法 (shotokuzei)
law_type: act / law_num: 昭和四十年法律第三十三号 / egov_id: 340AC0000000033 / as_of: 2025-12-27
article: beppyo-3 / title: 別表第三

給与所得の源泉徴収税額表（日額表）（第百八十五条関係）

### （一）
| その日の社会保険料等控除後の給与等の金額 | 甲 | 乙 | 丙 |  |  |  |  |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| その日の社会保険料等控除後の給与等の金額 | 扶養親族等の数 |  |  |  |  |  |  |  |  |  |  |
| その日の社会保険料等控除後の給与等の金額 | ０人 | １人 | ２人 | ３人 | ４人 | ５人 | ６人 | ７人 |  |  |  |
| 以上 | 未満 | 税額 | 税額 | 税額 |  |  |  |  |  |  |  |
| 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 | 円 |
| ３，５００円未満 | ０ | ０ | ０ | ０ | ０ | ０ | ０ | ０ | その日の社会保険料等控除後の給与等の金額の３％に相当する金額 | ０ |  |
|  |  |  |  |  |  |  |  |  | その日の社会保険料等控除後の給与等の金額の３％に相当する金額 |  |  |
| １４，７００ | １４，８００ | ６２５ | ５２０ | ４１５ | ３１０ | ２３５ | １８５ | １３０ | ８０ | ３，６９０ | １７８ |
| １４，８００ | １４，９００ | ６３５ | ５２５ | ４２０ | ３１５ | ２４０ | １９０ | １３５ | ８０ | ３，７５０ | １８２ |
| １４，９００ | １５，０００ | ６４０ | ５３５ | ４３０ | ３２５ | ２４５ | １９０ | １４０ | ８５ | ３，８００ | １８６ |
|  |  |  |  |  |  |  |  |  |  |  |  |
| １５，０００ | １５，１００ | ６５５ | ５４５ | ４４０ | ３３０ | ２５０ | １９５ | １４５ | ９０ | ３，８６０ | １９０ |
| １５，１００ | １５，２００ | ６７０ | ５５０ | ４４５ | ３４０ | ２５５ | ２００ | １４５ | ９５ | ３，９２０ | １９４ |
| １５，２００ | １５，３００ | ６８５ | ５６０ | ４５５ | ３５０ | ２５５ | ２０５ | １５０ | １００ | ３，９７０ | １９８ |
| １５，３００ | １５，４００ | ７００ | ５６５ | ４６０ | ３５５ | ２６０ | ２１０ | １５５ | １００ | ４，０３０ | ２０２ |
| １５，４００ | １５，５００ | ７１５ | ５７５ | ４７０ | ３６５ | ２６５ | ２１０ | １６０ | １０５ | ４，０８０ | ２０６ |
|  |  |  |  |  |  |  |  |  |  |  |  |
| １５，５００ | １５，６００ | ７３５ | ５８５ | ４８０ | ３７０ | ２７０ | ２１５ | １６５ | １１０ | ４，１４０ | ２１０ |
| １５，６００ | １５，７００ | ７５０ | ５９０ | ４８５ | ３８０ | ２７５ | ２２０ | １６５ | １１５ | ４，１９０ | ２１４ |
| １５，７００ | １５，８００ | ７６５ | ６００ | ４９５ | ３９０ | ２８５ | ２２５ | １７０ | １２０ | ４，２５０ | ２１８ |
| １５，８００ | １５，９００ | ７８０ | ６０５ | ５００ | ３９５ | ２９０ | ２３０ | １７５ | １２０ | ４，３００ | ２２２ |
| １５，９００ | １６，０００ | ７９５ | ６１５ | ５１０ | ４０５ | ３００ | ２３０ | １８０ | １２５ | ４，３５０ | ２２６ |
|  |  |  |  |  |  |  |  |  |  |  |  |
| １６，０００ | １６，１００ | ８１５ | ６２５ | ５２０ | ４１０ | ３０５ | ２３５ | １８５ | １３０ | ４，４１０ | ２３０ |
| １６，１００ | １６，２００ | ８３０ | ６３０ | ５２５ | ４２０ | ３１５ | ２４０ | １８５ | １３５ | ４，４６０ | ２３４ |
| １６，２００ | １６，３００ | ８４５ | ６４０ | ５３５ | ４３０ | ３２５ | ２４５ | １９０ | １４０ | ４，５１０ | ２３８ |
| １６，３００ | １６，４００ | ８６０ | ６５０ | ５４０ | ４３５ | ３３０ | ２５０ | １９５ | １４０ | ４，５６０ | ２４２ |
| １６，４００ | １６，５００ | ８７５ | ６６５ | ５５０ | ４４５ | ３４０ | ２５０ | ２００ | １４５ | ４，６２０ | ２４６ |
|  |  |  |  |  |  |  |  |  |  |  |  |
| １６，５００ | １６，６００ | ８９５ | ６８０ | ５６０ | ４５０ | ３４５ | ２５５ | ２０５ | １５０ | ４，６７０ | ２５０ |
| １６，６００ | １６，７００ | ９１０ | ６９５ | ５６５ | ４６０ | ３５５ | ２６０ | ２０５ | １５５ | ４，７２０ | ２５４ |
| １６，７００ | １６，８００ | ９２５ | ７１５ | ５７５ | ４７０ | ３６５ | ２６５ | ２１０ | １６０ | ４，７７０ | ２５８ |
| １６，８００ | １６，９００ | ９４０ | ７３０ | ５８０ | ４７５ | ３７０ | ２７０ | ２１５ | １６０ | ４，８３０ | ２６２ |
| １６，９００ | １７，０００ | ９５５ | ７４５ | ５９０ | ４８５ | ３８０ | ２７５ | ２２０ | １６５ | ４，８８０ | ２６６ |
|  |  |  |  |  |  |  |  |  |  |  |  |
| １７，０００ | １７，１００ | ９７５ | ７６０ | ６００ | ４９０ | ３８５ | ２８０ | ２２５ | １７０ | ４，９３０ | ２７０ |
| １７，１００ | １７，２００ | ９９０ | ７７５ | ６０５ | ５００ | ３９５ | ２９０ | ２２５ | １７５ | ４，９８０ | ２７４ |
| １７，２００ | １７，３００ | １，００５ | ７９５ | ６１５ | ５１０ | ４０５ | ２９５ | ２３０ | １８０ | ５，０４０ | ２７８ |
| １７，３００ | １７，４００ | １，０２０ | ８１０ | ６２０ | ５１５ | ４１０ | ３０５ | ２３５ | １８０ | ５，０９０ | ２８２ |

--- split 1/4 → next: beppyo-3_2.txt ---
